store_id,date,day_of_week,hour,forecast_customers,is_peak_hour
S002,2026-05-08,Friday,13,28,0
S002,2026-05-08,Friday,14,44,0
S002,2026-05-08,Friday,15,42,0
S002,2026-05-08,Friday,16,39,0
S002,2026-05-08,Friday,17,78,1
S002,2026-05-08,Friday,18,87,1
S002,2026-05-08,Friday,19,73,1
S002,2026-05-08,Friday,20,79,1
S002,2026-05-08,Friday,21,45,0
S002,2026-05-09,Saturday,8,55,0
S002,2026-05-09,Saturday,9,46,0
S002,2026-05-09,Saturday,10,42,0
S002,2026-05-09,Saturday,11,59,0
S002,2026-05-09,Saturday,12,36,0
S002,2026-05-09,Saturday,13,58,0
S002,2026-05-09,Saturday,14,39,0
S002,2026-05-09,Saturday,15,40,0
S002,2026-05-09,Saturday,16,58,0
S002,2026-05-09,Saturday,17,113,1
S002,2026-05-09,Saturday,18,117,1
S002,2026-05-09,Saturday,19,118,1
S002,2026-05-09,Saturday,20,117,1
S002,2026-05-09,Saturday,21,54,0
S003,2026-05-03,Sunday,8,150,0
S003,2026-05-03,Sunday,9,104,0
S003,2026-05-03,Sunday,10,94,0
S003,2026-05-03,Sunday,11,122,0
S003,2026-05-03,Sunday,12,86,0
S003,2026-05-03,Sunday,13,139,0
S003,2026-05-03,Sunday,14,106,0
S003,2026-05-03,Sunday,15,122,0
S003,2026-05-03,Sunday,16,87,0
S003,2026-05-03,Sunday,17,214,1
S003,2026-05-03,Sunday,18,252,1
S003,2026-05-03,Sunday,19,224,1
S003,2026-05-03,Sunday,20,234,1
S003,2026-05-03,Sunday,21,129,0
S003,2026-05-04,Monday,8,53,0
S003,2026-05-04,Monday,9,84,0
S003,2026-05-04,Monday,10,60,0
S003,2026-05-04,Monday,11,63,0
S003,2026-05-04,Monday,12,55,0
S003,2026-05-04,Monday,13,50,0
S003,2026-05-04,Monday,14,67,0
S003,2026-05-04,Monday,15,95,0
S003,2026-05-04,Monday,16,81,0
S003,2026-05-04,Monday,17,171,1
S003,2026-05-04,Monday,18,154,1
S003,2026-05-04,Monday,19,161,1
S003,2026-05-04,Monday,20,153,1
S003,2026-05-04,Monday,21,58,0
S003,2026-05-05,Tuesday,8,65,0
S003,2026-05-05,Tuesday,9,109,0
S003,2026-05-05,Tuesday,10,109,0
S003,2026-05-05,Tuesday,11,43,0
S003,2026-05-05,Tuesday,12,65,0
S003,2026-05-05,Tuesday,13,47,0
S003,2026-05-05,Tuesday,14,51,0
S003,2026-05-05,Tuesday,15,92,0
S003,2026-05-05,Tuesday,16,61,0
S003,2026-05-05,Tuesday,17,170,1
S003,2026-05-05,Tuesday,18,155,1
S003,2026-05-05,Tuesday,19,163,1
S003,2026-05-05,Tuesday,20,175,1
S003,2026-05-05,Tuesday,21,54,0
S003,2026-05-06,Wednesday,8,51,0
S003,2026-05-06,Wednesday,9,91,0
S003,2026-05-06,Wednesday,10,47,0
S003,2026-05-06,Wednesday,11,45,0
S003,2026-05-06,Wednesday,12,99,0
S003,2026-05-06,Wednesday,13,84,0
S003,2026-05-06,Wednesday,14,74,0
S003,2026-05-06,Wednesday,15,74,0
S003,2026-05-06,Wednesday,16,90,0
S003,2026-05-06,Wednesday,17,165,1
S003,2026-05-06,Wednesday,18,165,1
S003,2026-05-06,Wednesday,19,146,1
S003,2026-05-06,Wednesday,20,166,1
S003,2026-05-06,Wednesday,21,66,0
S003,2026-05-07,Thursday,8,95,0
S003,2026-05-07,Thursday,9,66,0
S003,2026-05-07,Thursday,10,94,0
S003,2026-05-07,Thursday,11,99,0
S003,2026-05-07,Thursday,12,70,0
S003,2026-05-07,Thursday,13,105,0
S003,2026-05-07,Thursday,14,62,0
S003,2026-05-07,Thursday,15,97,0
S003,2026-05-07,Thursday,16,90,0
S003,2026-05-07,Thursday,17,153,1
S003,2026-05-07,Thursday,18,166,1
S003,2026-05-07,Thursday,19,165,1
S003,2026-05-07,Thursday,20,152,1
S003,2026-05-07,Thursday,21,96,0
S003,2026-05-08,Friday,8,75,0
S003,2026-05-08,Friday,9,99,0
S003,2026-05-08,Friday,10,78,0
S003,2026-05-08,Friday,11,56,0
S003,2026-05-08,Friday,12,97,0
S003,2026-05-08,Friday,13,98,0
S003,2026-05-08,Friday,14,101,0
S003,2026-05-08,Friday,15,102,0
S003,2026-05-08,Friday,16,64,0
S003,2026-05-08,Friday,17,167,1
S003,2026-05-08,Friday,18,175,1
S003,2026-05-08,Friday,19,148,1
S003,2026-05-08,Friday,20,156,1
S003,2026-05-08,Friday,21,98,0
S003,2026-05-09,Saturday,8,105,0
S003,2026-05-09,Saturday,9,130,0
S003,2026-05-09,Saturday,10,139,0
S003,2026-05-09,Saturday,11,77,0
S003,2026-05-09,Saturday,12,62,0
S003,2026-05-09,Saturday,13,88,0
S003,2026-05-09,Saturday,14,101,0
S003,2026-05-09,Saturday,15,104,0
S003,2026-05-09,Saturday,16,141,0
S003,2026-05-09,Saturday,17,213,1
S003,2026-05-09,Saturday,18,216,1
S003,2026-05-09,Saturday,19,243,1
S003,2026-05-09,Saturday,20,250,1
S003,2026-05-09,Saturday,21,72,0
S004,2026-05-03,Sunday,8,36,0
S004,2026-05-03,Sunday,9,48,0
S004,2026-05-03,Sunday,10,70,0
S004,2026-05-03,Sunday,11,54,0
S004,2026-05-03,Sunday,12,84,0
S004,2026-05-03,Sunday,13,54,0
S004,2026-05-03,Sunday,14,84,0
S004,2026-05-03,Sunday,15,41,0
S004,2026-05-03,Sunday,16,46,0
S004,2026-05-03,Sunday,17,109,1
S004,2026-05-03,Sunday,18,117,1
S004,2026-05-03,Sunday,19,125,1
S004,2026-05-03,Sunday,20,118,1
S004,2026-05-03,Sunday,21,63,0
S004,2026-05-04,Monday,8,45,0
S004,2026-05-04,Monday,9,47,0
S004,2026-05-04,Monday,10,23,0
S004,2026-05-04,Monday,11,30,0
S004,2026-05-04,Monday,12,29,0
S004,2026-05-04,Monday,13,25,0
S004,2026-05-04,Monday,14,32,0
S004,2026-05-04,Monday,15,57,0
S004,2026-05-04,Monday,16,32,0
S004,2026-05-04,Monday,17,78,1
S004,2026-05-04,Monday,18,86,1
S004,2026-05-04,Monday,19,80,1
S004,2026-05-04,Monday,20,85,1
S004,2026-05-04,Monday,21,36,0
S004,2026-05-05,Tuesday,8,40,0
S004,2026-05-05,Tuesday,9,49,0
S004,2026-05-05,Tuesday,10,34,0
S004,2026-05-05,Tuesday,11,46,0
S004,2026-05-05,Tuesday,12,38,0
S004,2026-05-05,Tuesday,13,46,0
S004,2026-05-05,Tuesday,14,34,0
S004,2026-05-05,Tuesday,15,31,0
S004,2026-05-05,Tuesday,16,53,0
S004,2026-05-05,Tuesday,17,84,1
S004,2026-05-05,Tuesday,18,80,1
S004,2026-05-05,Tuesday,19,88,1
S004,2026-05-05,Tuesday,20,81,1
S004,2026-05-05,Tuesday,21,34,0
S004,2026-05-06,Wednesday,8,23,0
S004,2026-05-06,Wednesday,9,35,0
S004,2026-05-06,Wednesday,10,36,0
S004,2026-05-06,Wednesday,11,41,0
S004,2026-05-06,Wednesday,12,51,0
S004,2026-05-06,Wednesday,13,28,0
S004,2026-05-06,Wednesday,14,24,0
S004,2026-05-06,Wednesday,15,26,0
S004,2026-05-06,Wednesday,16,27,0
S004,2026-05-06,Wednesday,17,76,1
S004,2026-05-06,Wednesday,18,79,1
S004,2026-05-06,Wednesday,19,74,1
S004,2026-05-06,Wednesday,20,82,1
S004,2026-05-06,Wednesday,21,35,0
S004,2026-05-07,Thursday,8,37,0
S004,2026-05-07,Thursday,9,33,0
S004,2026-05-07,Thursday,10,34,0
S004,2026-05-07,Thursday,11,31,0
S004,2026-05-07,Thursday,12,51,0
S004,2026-05-07,Thursday,13,36,0
S004,2026-05-07,Thursday,14,51,0
S004,2026-05-07,Thursday,15,27,0
S004,2026-05-07,Thursday,16,46,0
S004,2026-05-07,Thursday,17,84,1
S004,2026-05-07,Thursday,18,73,1
S004,2026-05-07,Thursday,19,88,1
S004,2026-05-07,Thursday,20,73,1
S004,2026-05-07,Thursday,21,27,0
S004,2026-05-08,Friday,8,43,0
S004,2026-05-08,Friday,9,44,0
S004,2026-05-08,Friday,10,48,0
S004,2026-05-08,Friday,11,39,0
S004,2026-05-08,Friday,12,32,0
S004,2026-05-08,Friday,13,30,0
S004,2026-05-08,Friday,14,47,0
S004,2026-05-08,Friday,15,27,0
S004,2026-05-08,Friday,16,27,0
S004,2026-05-08,Friday,17,75,1
S004,2026-05-08,Friday,18,86,1
S004,2026-05-08,Friday,19,81,1
S004,2026-05-08,Friday,20,76,1
S004,2026-05-08,Friday,21,47,0
S004,2026-05-09,Saturday,8,49,0
S004,2026-05-09,Saturday,9,47,0
S004,2026-05-09,Saturday,10,66,0
S004,2026-05-09,Saturday,11,66,0
S004,2026-05-09,Saturday,12,60,0
S004,2026-05-09,Saturday,13,51,0
S004,2026-05-09,Saturday,14,41,0
S004,2026-05-09,Saturday,15,53,0
S004,2026-05-09,Saturday,16,52,0
S004,2026-05-09,Saturday,17,125,1
S004,2026-05-09,Saturday,18,121,1
S004,2026-05-09,Saturday,19,109,1
S004,2026-05-09,Saturday,20,115,1
S004,2026-05-09,Saturday,21,55,0
S005,2026-05-03,Sunday,8,63,0
S005,2026-05-03,Sunday,9,39,0
S005,2026-05-03,Sunday,10,66,0
S005,2026-05-03,Sunday,11,53,0
S005,2026-05-03,Sunday,12,39,0
S005,2026-05-03,Sunday,13,38,0
S005,2026-05-03,Sunday,14,71,0
S005,2026-05-03,Sunday,15,76,0
S005,2026-05-03,Sunday,16,36,0
S005,2026-05-03,Sunday,17,125,1
S005,2026-05-03,Sunday,18,108,1
S005,2026-05-03,Sunday,19,121,1
S005,2026-05-03,Sunday,20,109,1
S005,2026-05-03,Sunday,21,61,0
S005,2026-05-04,Monday,8,28,0
S005,2026-05-04,Monday,9,39,0
S005,2026-05-04,Monday,10,35,0
S005,2026-05-04,Monday,11,35,0
S005,2026-05-04,Monday,12,51,0
S005,2026-05-04,Monday,13,38,0
S005,2026-05-04,Monday,14,40,0
S005,2026-05-04,Monday,15,50,0
S005,2026-05-04,Monday,16,23,0
S005,2026-05-04,Monday,17,73,1
S005,2026-05-04,Monday,18,75,1
S005,2026-05-04,Monday,19,88,1
S005,2026-05-04,Monday,20,87,1
S005,2026-05-04,Monday,21,42,0
S005,2026-05-05,Tuesday,8,51,0
S005,2026-05-05,Tuesday,9,46,0
S005,2026-05-05,Tuesday,10,56,0
S005,2026-05-05,Tuesday,11,28,0
S005,2026-05-05,Tuesday,12,47,0
S005,2026-05-05,Tuesday,13,45,0
S005,2026-05-05,Tuesday,14,41,0
S005,2026-05-05,Tuesday,15,34,0
S005,2026-05-05,Tuesday,16,57,0
S005,2026-05-05,Tuesday,17,75,1
S005,2026-05-05,Tuesday,18,83,1
S005,2026-05-05,Tuesday,19,80,1
S005,2026-05-05,Tuesday,20,87,1
S005,2026-05-05,Tuesday,21,38,0
S005,2026-05-06,Wednesday,8,29,0
S005,2026-05-06,Wednesday,9,43,0
S005,2026-05-06,Wednesday,10,27,0
S005,2026-05-06,Wednesday,11,34,0
S005,2026-05-06,Wednesday,12,33,0
S005,2026-05-06,Wednesday,13,44,0
S005,2026-05-06,Wednesday,14,32,0
S005,2026-05-06,Wednesday,15,40,0
S005,2026-05-06,Wednesday,16,39,0
S005,2026-05-06,Wednesday,17,80,1
S005,2026-05-06,Wednesday,18,83,1
S005,2026-05-06,Wednesday,19,73,1
S005,2026-05-06,Wednesday,20,87,1
S005,2026-05-06,Wednesday,21,31,0
S005,2026-05-07,Thursday,8,45,0
S005,2026-05-07,Thursday,9,44,0
S005,2026-05-07,Thursday,10,47,0
S005,2026-05-07,Thursday,11,38,0
S005,2026-05-07,Thursday,12,20,0
S005,2026-05-07,Thursday,13,43,0
S005,2026-05-07,Thursday,14,44,0
S005,2026-05-07,Thursday,15,48,0
S005,2026-05-07,Thursday,16,49,0
S005,2026-05-07,Thursday,17,74,1
S005,2026-05-07,Thursday,18,84,1
S005,2026-05-07,Thursday,19,75,1
S005,2026-05-07,Thursday,20,77,1
S005,2026-05-07,Thursday,21,30,0
S005,2026-05-08,Friday,8,47,0
S005,2026-05-08,Friday,9,43,0
S005,2026-05-08,Friday,10,30,0
S005,2026-05-08,Friday,11,46,0
S005,2026-05-08,Friday,12,40,0
S005,2026-05-08,Friday,13,46,0
S005,2026-05-08,Friday,14,48,0
S005,2026-05-08,Friday,15,43,0
S005,2026-05-08,Friday,16,41,0
S005,2026-05-08,Friday,17,88,1
S005,2026-05-08,Friday,18,86,1
S005,2026-05-08,Friday,19,84,1
S005,2026-05-08,Friday,20,78,1
S005,2026-05-08,Friday,21,41,0
S005,2026-05-09,Saturday,8,78,0
S005,2026-05-09,Saturday,9,72,0
S005,2026-05-09,Saturday,10,54,0
S005,2026-05-09,Saturday,11,39,0
S005,2026-05-09,Saturday,12,54,0
S005,2026-05-09,Saturday,13,60,0
S005,2026-05-09,Saturday,14,45,0
S005,2026-05-09,Saturday,15,64,0
S005,2026-05-09,Saturday,16,73,0
S005,2026-05-09,Saturday,17,121,1
S005,2026-05-09,Saturday,18,117,1
S005,2026-05-09,Saturday,19,110,1
S005,2026-05-09,Saturday,20,124,1
S005,2026-05-09,Saturday,21,70,0
S006,2026-05-03,Sunday,8,64,0
S006,2026-05-03,Sunday,9,42,0
S006,2026-05-03,Sunday,10,44,0
S006,2026-05-03,Sunday,11,60,0
S006,2026-05-03,Sunday,12,70,0
S006,2026-05-03,Sunday,13,61,0
S006,2026-05-03,Sunday,14,68,0
S006,2026-05-03,Sunday,15,53,0
S006,2026-05-03,Sunday,16,61,0
S006,2026-05-03,Sunday,17,110,1
S006,2026-05-03,Sunday,18,116,1
S006,2026-05-03,Sunday,19,118,1
S006,2026-05-03,Sunday,20,112,1
S006,2026-05-03,Sunday,21,61,0
S006,2026-05-04,Monday,8,41,0
S006,2026-05-04,Monday,9,33,0
S006,2026-05-04,Monday,10,49,0
S006,2026-05-04,Monday,11,41,0
S006,2026-05-04,Monday,12,35,0
S006,2026-05-04,Monday,13,30,0
S006,2026-05-04,Monday,14,46,0
S006,2026-05-04,Monday,15,57,0
S006,2026-05-04,Monday,16,46,0
S006,2026-05-04,Monday,17,78,1
S006,2026-05-04,Monday,18,83,1
S006,2026-05-04,Monday,19,72,1
S006,2026-05-04,Monday,20,73,1
S006,2026-05-04,Monday,21,40,0
S006,2026-05-05,Tuesday,8,36,0
S006,2026-05-05,Tuesday,9,40,0
S006,2026-05-05,Tuesday,10,41,0
S006,2026-05-05,Tuesday,11,37,0
S006,2026-05-05,Tuesday,12,21,0
S006,2026-05-05,Tuesday,13,28,0
S006,2026-05-05,Tuesday,14,25,0
S006,2026-05-05,Tuesday,15,30,0
S006,2026-05-05,Tuesday,16,38,0
S006,2026-05-05,Tuesday,17,85,1
S006,2026-05-05,Tuesday,18,82,1
S006,2026-05-05,Tuesday,19,73,1
S006,2026-05-05,Tuesday,20,74,1
S006,2026-05-05,Tuesday,21,27,0
S006,2026-05-06,Wednesday,8,38,0
S006,2026-05-06,Wednesday,9,51,0
S006,2026-05-06,Wednesday,10,24,0
S006,2026-05-06,Wednesday,11,27,0
S006,2026-05-06,Wednesday,12,53,0
S006,2026-05-06,Wednesday,13,28,0
S006,2026-05-06,Wednesday,14,26,0
S006,2026-05-06,Wednesday,15,34,0
S006,2026-05-06,Wednesday,16,47,0
S006,2026-05-06,Wednesday,17,88,1
S006,2026-05-06,Wednesday,18,85,1
S006,2026-05-06,Wednesday,19,77,1
S006,2026-05-06,Wednesday,20,73,1
S006,2026-05-06,Wednesday,21,39,0
S006,2026-05-07,Thursday,8,34,0
S006,2026-05-07,Thursday,9,46,0
S006,2026-05-07,Thursday,10,47,0
S006,2026-05-07,Thursday,11,42,0
S006,2026-05-07,Thursday,12,36,0
S006,2026-05-07,Thursday,13,26,0
S006,2026-05-07,Thursday,14,45,0
S006,2026-05-07,Thursday,15,27,0
S006,2026-05-07,Thursday,16,31,0
S006,2026-05-07,Thursday,17,79,1
S006,2026-05-07,Thursday,18,85,1
S006,2026-05-07,Thursday,19,79,1
S006,2026-05-07,Thursday,20,85,1
S006,2026-05-07,Thursday,21,32,0
S006,2026-05-08,Friday,8,47,0
S006,2026-05-08,Friday,9,24,0
S006,2026-05-08,Friday,10,50,0
S006,2026-05-08,Friday,11,27,0
S006,2026-05-08,Friday,12,49,0
S006,2026-05-08,Friday,13,44,0
S006,2026-05-08,Friday,14,21,0
S006,2026-05-08,Friday,15,25,0
S006,2026-05-08,Friday,16,42,0
S006,2026-05-08,Friday,17,80,1
S006,2026-05-08,Friday,18,76,1
S006,2026-05-08,Friday,19,87,1
S006,2026-05-08,Friday,20,73,1
S006,2026-05-08,Friday,21,40,0
S006,2026-05-09,Saturday,8,63,0
S006,2026-05-09,Saturday,9,35,0
S006,2026-05-09,Saturday,10,79,0
S006,2026-05-09,Saturday,11,78,0
S006,2026-05-09,Saturday,12,77,0
S006,2026-05-09,Saturday,13,42,0
S006,2026-05-09,Saturday,14,66,0
S006,2026-05-09,Saturday,15,72,0
S006,2026-05-09,Saturday,16,58,0
S006,2026-05-09,Saturday,17,124,1
S006,2026-05-09,Saturday,18,108,1
S006,2026-05-09,Saturday,19,112,1
S006,2026-05-09,Saturday,20,118,1
S006,2026-05-09,Saturday,21,41,0
S007,2026-05-03,Sunday,8,231,0
S007,2026-05-03,Sunday,9,100,0
S007,2026-05-03,Sunday,10,152,0
S007,2026-05-03,Sunday,11,234,0
S007,2026-05-03,Sunday,12,200,0
S007,2026-05-03,Sunday,13,164,0
S007,2026-05-03,Sunday,14,220,0
S007,2026-05-03,Sunday,15,109,0
S007,2026-05-03,Sunday,16,201,0
S007,2026-05-03,Sunday,17,331,1
S007,2026-05-03,Sunday,18,369,1
S007,2026-05-03,Sunday,19,357,1
S007,2026-05-03,Sunday,20,349,1
S007,2026-05-03,Sunday,21,138,0
S007,2026-05-04,Monday,8,88,0
S007,2026-05-04,Monday,9,94,0
S007,2026-05-04,Monday,10,109,0
S007,2026-05-04,Monday,11,77,0
S007,2026-05-04,Monday,12,97,0
S007,2026-05-04,Monday,13,138,0
S007,2026-05-04,Monday,14,77,0
S007,2026-05-04,Monday,15,136,0
S007,2026-05-04,Monday,16,154,0
S007,2026-05-04,Monday,17,247,1
S007,2026-05-04,Monday,18,248,1
S007,2026-05-04,Monday,19,260,1
S007,2026-05-04,Monday,20,229,1
S007,2026-05-04,Monday,21,101,0
S007,2026-05-05,Tuesday,8,93,0
S007,2026-05-05,Tuesday,9,102,0
S007,2026-05-05,Tuesday,10,138,0
S007,2026-05-05,Tuesday,11,110,0
S007,2026-05-05,Tuesday,12,142,0
S007,2026-05-05,Tuesday,13,81,0
S007,2026-05-05,Tuesday,14,146,0
S007,2026-05-05,Tuesday,15,156,0
S007,2026-05-05,Tuesday,16,116,0
S007,2026-05-05,Tuesday,17,231,1
S007,2026-05-05,Tuesday,18,241,1
S007,2026-05-05,Tuesday,19,253,1
S007,2026-05-05,Tuesday,20,242,1
S007,2026-05-05,Tuesday,21,141,0
S007,2026-05-06,Wednesday,8,100,0
S007,2026-05-06,Wednesday,9,88,0
S007,2026-05-06,Wednesday,10,105,0
S007,2026-05-06,Wednesday,11,145,0
S007,2026-05-06,Wednesday,12,106,0
S007,2026-05-06,Wednesday,13,137,0
S007,2026-05-06,Wednesday,14,133,0
S007,2026-05-06,Wednesday,15,132,0
S007,2026-05-06,Wednesday,16,108,0
S007,2026-05-06,Wednesday,17,246,1
S007,2026-05-06,Wednesday,18,222,1
S007,2026-05-06,Wednesday,19,249,1
S007,2026-05-06,Wednesday,20,267,1
S007,2026-05-06,Wednesday,21,141,0
S007,2026-05-07,Thursday,8,99,0
S007,2026-05-07,Thursday,9,142,0
S007,2026-05-07,Thursday,10,129,0
S007,2026-05-07,Thursday,11,150,0
S007,2026-05-07,Thursday,12,117,0
S007,2026-05-07,Thursday,13,100,0
S007,2026-05-07,Thursday,14,148,0
S007,2026-05-07,Thursday,15,131,0
S007,2026-05-07,Thursday,16,105,0
S007,2026-05-07,Thursday,17,250,1
S007,2026-05-07,Thursday,18,249,1
S007,2026-05-07,Thursday,19,219,1
S007,2026-05-07,Thursday,20,224,1
S007,2026-05-07,Thursday,21,151,0
S007,2026-05-08,Friday,8,123,0
S007,2026-05-08,Friday,9,155,0
S007,2026-05-08,Friday,10,114,0
S007,2026-05-08,Friday,11,125,0
S007,2026-05-08,Friday,12,130,0
